Variable_name	Value
log_slow_admin_statements	ON
log_slow_disabled_statements	sp
log_slow_filter	admin,filesort,filesort_on_disk,filesort_priority_queue,full_join,full_scan,query_cache,query_cache_miss,tmp_table,tmp_table_on_disk
log_slow_max_warnings	10
log_slow_min_examined_row_limit	0
log_slow_query	ON
log_slow_query_file	MacBook-Pro-Arttu-slow.log
log_slow_query_time	10.000000
log_slow_rate_limit	1
log_slow_slave_statements	ON
log_slow_verbosity	
slow_launch_time	2
slow_query_log	ON
slow_query_log_file	MacBook-Pro-Arttu-slow.log
43285	Rojola	Teuvo
45918	Laitamo-Rojola	Teuvo
46519	Rojola	Teuvo
47522	Rojola	Teuvo
48664	Rojola	Teuvo
50163	Rojola	Teuvo
51065	Rojola	Teuvo
53432	Rojola	Teuvo
55375	Rojola	Teuvo
55736	Ollikainen-Rojola	Teuvo
56196	Rojola	Teuvo
61538	Rojola	Teuvo
64254	Rojola	Teuvo
66363	Rojola	Teuvo
66979	Rojola-Rajala	Teuvo
68219	Rojola	Teuvo
71215	Rojola	Teuvo
71733	Rojola	Teuvo
74971	Häkkinen-Rojola	Teuvo
76212	Rojola	Teuvo
79318	Rojola	Teuvo
81227	Rojola	Teuvo
81975	Rojola	Teuvo
87081	Rojola	Teuvo
88357	Rojola	Teuvo
89019	Rojola	Teuvo
91841	Rojola	Teuvo
92299	Rojola	Teuvo
97570	Rojola	Teuvo
97630	Rojola	Teuvo
99720	Rojola	Teuvo
99753	Rojola	Teuvo
107288	Rojola-Uutela	Teuvo
110170	Rojola	Teuvo
111197	Rojola	Teuvo
111640	Wuotila-Rojola	Teuvo
114982	Rojola	Teuvo
115272	Rojola	Teuvo
115298	Rojola	Teuvo
115935	Rojola	Teuvo
117692	Rojola	Teuvo
123204	Rojola	Teuvo
124259	Mottisenkangas-Rojola	Teuvo
125850	Rojola	Teuvo
126623	Rojola	Teuvo
126819	Stepanov-Rojola	Teuvo
129695	Rojola	Teuvo
131459	Rojola	Teuvo
132236	Rojola	Teuvo
132745	Rojola	Teuvo
135215	Rojola	Teuvo
135299	Paavola-Rojola	Teuvo
135519	Rojola	Teuvo
136156	Rojola	Teuvo
136834	Rojola	Teuvo
136990	Rojola	Teuvo
137027	Rojola	Teuvo
146857	Rojola	Teuvo
149258	Rojola	Teuvo
149415	Rojola-Ruottinen	Teuvo
152450	Rojola	Teuvo
152539	Kohonen-Rojola	Teuvo
152750	Rojola	Teuvo
154835	Rojola	Teuvo
155465	Rojola	Teuvo
158957	Rojola	Teuvo
159208	Rojola	Teuvo
160085	Rojola-Kähkönen	Teuvo
163554	Rojola	Teuvo
164153	Rojola	Teuvo
164918	Vanninen-Rojola	Teuvo
168449	Rojola	Teuvo
172311	Rojola	Teuvo
173258	Rojola	Teuvo
174364	Rojola	Teuvo
175094	Rojola	Teuvo
175253	Rojola	Teuvo
176917	Rojola	Teuvo
177825	Rojola	Teuvo
178222	Rojola	Teuvo
179838	Rojola	Teuvo
180744	Rojola	Teuvo
182603	Rojola	Teuvo
183368	Rojola	Teuvo
184592	Mynttinen-Rojola	Teuvo
185206	Rojola	Teuvo
186419	Rojola	Teuvo
187117	Rojola	Teuvo
190421	Rojola	Teuvo
191298	Rojola	Teuvo
193437	Rojola	Teuvo
196979	Rojola	Teuvo
197621	Rojola	Teuvo
198720	Rojola	Teuvo
199632	Rojola	Teuvo
3	Rojola	Olivia
206	Rojola	Olivia
1179	Rojola-Heinonen	Olivia
1866	Rojola	Olivia
5376	Rojola	Olivia
5443	Rojola	Olivia
5607	Rojola	Olivia
6469	Rojola	Olivia
7294	Rojola	Olivia
9461	Rojola	Olivia
9671	Rojola	Olivia
10094	Rojola	Olivia
11413	Rojola	Olivia
11738	Rojola	Olivia
12244	Rojola	Olivia
13047	Rojola	Olivia
15476	Rojola	Olivia
18407	Rojola	Olivia
24044	Rojola	Olivia
24066	Rojola	Olivia
26509	Rojola-Auvinen	Olivia
28292	Rojola	Olivia
30320	Rojola	Olivia
32094	Rojola	Olivia
37119	Rojola	Olivia
39437	Rojola	Olivia
40270	Rojola	Olivia
40600	Rojola	Olivia
42541	Rojola	Olivia
43285	Rojola	Olivia
45918	Laitamo-Rojola	Olivia
46519	Rojola	Olivia
47522	Rojola	Olivia
48664	Rojola	Olivia
50163	Rojola	Olivia
51065	Rojola	Olivia
53432	Rojola	Olivia
55375	Rojola	Olivia
55736	Ollikainen-Rojola	Olivia
56196	Rojola	Olivia
61538	Rojola	Olivia
64254	Rojola	Olivia
66363	Rojola	Olivia
66979	Rojola-Rajala	Olivia
68219	Rojola	Olivia
71215	Rojola	Olivia
71733	Rojola	Olivia
74971	Häkkinen-Rojola	Olivia
76212	Rojola	Olivia
79318	Rojola	Olivia
81227	Rojola	Olivia
81975	Rojola	Olivia
87081	Rojola	Olivia
88357	Rojola	Olivia
89019	Rojola	Olivia
91841	Rojola	Olivia
92299	Rojola	Olivia
97570	Rojola	Olivia
97630	Rojola	Olivia
99720	Rojola	Olivia
99753	Rojola	Olivia
107288	Rojola-Uutela	Olivia
110170	Rojola	Olivia
111197	Rojola	Olivia
111640	Wuotila-Rojola	Olivia
114982	Rojola	Olivia
115272	Rojola	Olivia
115298	Rojola	Olivia
115935	Rojola	Olivia
117692	Rojola	Olivia
123204	Rojola	Olivia
124259	Mottisenkangas-Rojola	Olivia
125850	Rojola	Olivia
126623	Rojola	Olivia
126819	Stepanov-Rojola	Olivia
129695	Rojola	Olivia
131459	Rojola	Olivia
132236	Rojola	Olivia
132745	Rojola	Olivia
135215	Rojola	Olivia
135299	Paavola-Rojola	Olivia
135519	Rojola	Olivia
136156	Rojola	Olivia
136834	Rojola	Olivia
136990	Rojola	Olivia
137027	Rojola	Olivia
146857	Rojola	Olivia
149258	Rojola	Olivia
149415	Rojola-Ruottinen	Olivia
152450	Rojola	Olivia
152539	Kohonen-Rojola	Olivia
152750	Rojola	Olivia
154835	Rojola	Olivia
155465	Rojola	Olivia
158957	Rojola	Olivia
159208	Rojola	Olivia
160085	Rojola-Kähkönen	Olivia
163554	Rojola	Olivia
164153	Rojola	Olivia
164918	Vanninen-Rojola	Olivia
168449	Rojola	Olivia
172311	Rojola	Olivia
173258	Rojola	Olivia
174364	Rojola	Olivia
175094	Rojola	Olivia
175253	Rojola	Olivia
176917	Rojola	Olivia
177825	Rojola	Olivia
178222	Rojola	Olivia
179838	Rojola	Olivia
180744	Rojola	Olivia
182603	Rojola	Olivia
183368	Rojola	Olivia
184592	Mynttinen-Rojola	Olivia
185206	Rojola	Olivia
186419	Rojola	Olivia
187117	Rojola	Olivia
190421	Rojola	Olivia
191298	Rojola	Olivia
193437	Rojola	Olivia
196979	Rojola	Olivia
197621	Rojola	Olivia
198720	Rojola	Olivia
199632	Rojola	Olivia
3	Rojola	Maarit
206	Rojola	Maarit
1179	Rojola-Heinonen	Maarit
1866	Rojola	Maarit
5376	Rojola	Maarit
5443	Rojola	Maarit
5607	Rojola	Maarit
6469	Rojola	Maarit
7294	Rojola	Maarit
9461	Rojola	Maarit
9671	Rojola	Maarit
10094	Rojola	Maarit
11413	Rojola	Maarit
11738	Rojola	Maarit
12244	Rojola	Maarit
13047	Rojola	Maarit
15476	Rojola	Maarit
18407	Rojola	Maarit
24044	Rojola	Maarit
24066	Rojola	Maarit
26509	Rojola-Auvinen	Maarit
28292	Rojola	Maarit
30320	Rojola	Maarit
32094	Rojola	Maarit
37119	Rojola	Maarit
39437	Rojola	Maarit
40270	Rojola	Maarit
40600	Rojola	Maarit
42541	Rojola	Maarit
43285	Rojola	Maarit
45918	Laitamo-Rojola	Maarit
46519	Rojola	Maarit
47522	Rojola	Maarit
48664	Rojola	Maarit
50163	Rojola	Maarit
51065	Rojola	Maarit
53432	Rojola	Maarit
55375	Rojola	Maarit
55736	Ollikainen-Rojola	Maarit
56196	Rojola	Maarit
61538	Rojola	Maarit
64254	Rojola	Maarit
66363	Rojola	Maarit
66979	Rojola-Rajala	Maarit
68219	Rojola	Maarit
71215	Rojola	Maarit
71733	Rojola	Maarit
74971	Häkkinen-Rojola	Maarit
76212	Rojola	Maarit
79318	Rojola	Maarit
81227	Rojola	Maarit
81975	Rojola	Maarit
87081	Rojola	Maarit
88357	Rojola	Maarit
89019	Rojola	Maarit
91841	Rojola	Maarit
92299	Rojola	Maarit
97570	Rojola	Maarit
97630	Rojola	Maarit
99720	Rojola	Maarit
99753	Rojola	Maarit
107288	Rojola-Uutela	Maarit
110170	Rojola	Maarit
111197	Rojola	Maarit
111640	Wuotila-Rojola	Maarit
114982	Rojola	Maarit
115272	Rojola	Maarit
115298	Rojola	Maarit
115935	Rojola	Maarit
117692	Rojola	Maarit
123204	Rojola	Maarit
124259	Mottisenkangas-Rojola	Maarit
125850	Rojola	Maarit
126623	Rojola	Maarit
126819	Stepanov-Rojola	Maarit
129695	Rojola	Maarit
131459	Rojola	Maarit
132236	Rojola	Maarit
132745	Rojola	Maarit
135215	Rojola	Maarit
135299	Paavola-Rojola	Maarit
135519	Rojola	Maarit
136156	Rojola	Maarit
136834	Rojola	Maarit
136990	Rojola	Maarit
137027	Rojola	Maarit
146857	Rojola	Maarit
149258	Rojola	Maarit
149415	Rojola-Ruottinen	Maarit
152450	Rojola	Maarit
152539	Kohonen-Rojola	Maarit
152750	Rojola	Maarit
154835	Rojola	Maarit
155465	Rojola	Maarit
158957	Rojola	Maarit
159208	Rojola	Maarit
160085	Rojola-Kähkönen	Maarit
163554	Rojola	Maarit
164153	Rojola	Maarit
164918	Vanninen-Rojola	Maarit
168449	Rojola	Maarit
172311	Rojola	Maarit
173258	Rojola	Maarit
174364	Rojola	Maarit
175094	Rojola	Maarit
175253	Rojola	Maarit
176917	Rojola	Maarit
177825	Rojola	Maarit
178222	Rojola	Maarit
179838	Rojola	Maarit
180744	Rojola	Maarit
182603	Rojola	Maarit
183368	Rojola	Maarit
184592	Mynttinen-Rojola	Maarit
185206	Rojola	Maarit
186419	Rojola	Maarit
187117	Rojola	Maarit
190421	Rojola	Maarit
191298	Rojola	Maarit
193437	Rojola	Maarit
196979	Rojola	Maarit
197621	Rojola	Maarit
198720	Rojola	Maarit
199632	Rojola	Maarit
3	Rojola	Merja
206	Rojola	Merja
1179	Rojola-Heinonen	Merja
1866	Rojola	Merja
5376	Rojola	Merja
5443	Rojola	Merja
5607	Rojola	Merja
6469	Rojola	Merja
7294	Rojola	Merja
9461	Rojola	Merja
9671	Rojola	Merja
10094	Rojola	Merja
11413	Rojola	Merja
11738	Rojola	Merja
12244	Rojola	Merja
13047	Rojola	Merja
15476	Rojola	Merja
18407	Rojola	Merja
24044	Rojola	Merja
24066	Rojola	Merja
26509	Rojola-Auvinen	Merja
28292	Rojola	Merja
30320	Rojola	Merja
32094	Rojola	Merja
37119	Rojola	Merja
39437	Rojola	Merja
40270	Rojola	Merja
40600	Rojola	Merja
42541	Rojola	Merja
43285	Rojola	Merja
45918	Laitamo-Rojola	Merja
46519	Rojola	Merja
47522	Rojola	Merja
48664	Rojola	Merja
50163	Rojola	Merja
51065	Rojola	Merja
53432	Rojola	Merja
55375	Rojola	Merja
55736	Ollikainen-Rojola	Merja
56196	Rojola	Merja
61538	Rojola	Merja
64254	Rojola	Merja
66363	Rojola	Merja
66979	Rojola-Rajala	Merja
68219	Rojola	Merja
71215	Rojola	Merja
71733	Rojola	Merja
74971	Häkkinen-Rojola	Merja
76212	Rojola	Merja
79318	Rojola	Merja
81227	Rojola	Merja
81975	Rojola	Merja
87081	Rojola	Merja
88357	Rojola	Merja
89019	Rojola	Merja
91841	Rojola	Merja
92299	Rojola	Merja
97570	Rojola	Merja
97630	Rojola	Merja
99720	Rojola	Merja
99753	Rojola	Merja
107288	Rojola-Uutela	Merja
110170	Rojola	Merja
111197	Rojola	Merja
111640	Wuotila-Rojola	Merja
114982	Rojola	Merja
115272	Rojola	Merja
115298	Rojola	Merja
115935	Rojola	Merja
117692	Rojola	Merja
123204	Rojola	Merja
124259	Mottisenkangas-Rojola	Merja
125850	Rojola	Merja
126623	Rojola	Merja
126819	Stepanov-Rojola	Merja
129695	Rojola	Merja
131459	Rojola	Merja
132236	Rojola	Merja
132745	Rojola	Merja
135215	Rojola	Merja
135299	Paavola-Rojola	Merja
135519	Rojola	Merja
136156	Rojola	Merja
136834	Rojola	Merja
136990	Rojola	Merja
137027	Rojola	Merja
146857	Rojola	Merja
149258	Rojola	Merja
149415	Rojola-Ruottinen	Merja
152450	Rojola	Merja
152539	Kohonen-Rojola	Merja
152750	Rojola	Merja
154835	Rojola	Merja
155465	Rojola	Merja
158957	Rojola	Merja
159208	Rojola	Merja
160085	Rojola-Kähkönen	Merja
163554	Rojola	Merja
164153	Rojola	Merja
164918	Vanninen-Rojola	Merja
168449	Rojola	Merja
172311	Rojola	Merja
173258	Rojola	Merja
174364	Rojola	Merja
175094	Rojola	Merja
175253	Rojola	Merja
176917	Rojola	Merja
177825	Rojola	Merja
178222	Rojola	Merja
179838	Rojola	Merja
180744	Rojola	Merja
182603	Rojola	Merja
183368	Rojola	Merja
184592	Mynttinen-Rojola	Merja
185206	Rojola	Merja
186419	Rojola	Merja
187117	Rojola	Merja
190421	Rojola	Merja
191298	Rojola	Merja
193437	Rojola	Merja
196979	Rojola	Merja
197621	Rojola	Merja
198720	Rojola	Merja
199632	Rojola	Merja
3	Rojola	Marketta
206	Rojola	Marketta
1179	Rojola-Heinonen	Marketta
1866	Rojola	Marketta
5376	Rojola	Marketta
5443	Rojola	Marketta
5607	Rojola	Marketta
6469	Rojola	Marketta
7294	Rojola	Marketta
9461	Rojola	Marketta
9671	Rojola	Marketta
10094	Rojola	Marketta
11413	Rojola	Marketta
11738	Rojola	Marketta
12244	Rojola	Marketta
13047	Rojola	Marketta
15476	Rojola	Marketta
18407	Rojola	Marketta
24044	Rojola	Marketta
24066	Rojola	Marketta
26509	Rojola-Auvinen	Marketta
28292	Rojola	Marketta
30320	Rojola	Marketta
32094	Rojola	Marketta
37119	Rojola	Marketta
39437	Rojola	Marketta
40270	Rojola	Marketta
40600	Rojola	Marketta
42541	Rojola	Marketta
43285	Rojola	Marketta
45918	Laitamo-Rojola	Marketta
46519	Rojola	Marketta
47522	Rojola	Marketta
48664	Rojola	Marketta
50163	Rojola	Marketta
51065	Rojola	Marketta
53432	Rojola	Marketta
55375	Rojola	Marketta
55736	Ollikainen-Rojola	Marketta
56196	Rojola	Marketta
61538	Rojola	Marketta
64254	Rojola	Marketta
66363	Rojola	Marketta
66979	Rojola-Rajala	Marketta
68219	Rojola	Marketta
71215	Rojola	Marketta
71733	Rojola	Marketta
74971	Häkkinen-Rojola	Marketta
76212	Rojola	Marketta
79318	Rojola	Marketta
81227	Rojola	Marketta
81975	Rojola	Marketta
87081	Rojola	Marketta
88357	Rojola	Marketta
89019	Rojola	Marketta
91841	Rojola	Marketta
92299	Rojola	Marketta
97570	Rojola	Marketta
97630	Rojola	Marketta
99720	Rojola	Marketta
99753	Rojola	Marketta
107288	Rojola-Uutela	Marketta
110170	Rojola	Marketta
111197	Rojola	Marketta
111640	Wuotila-Rojola	Marketta
114982	Rojola	Marketta
115272	Rojola	Marketta
115298	Rojola	Marketta
115935	Rojola	Marketta
117692	Rojola	Marketta
123204	Rojola	Marketta
124259	Mottisenkangas-Rojola	Marketta
125850	Rojola	Marketta
126623	Rojola	Marketta
126819	Stepanov-Rojola	Marketta
129695	Rojola	Marketta
131459	Rojola	Marketta
132236	Rojola	Marketta
132745	Rojola	Marketta
135215	Rojola	Marketta
135299	Paavola-Rojola	Marketta
135519	Rojola	Marketta
136156	Rojola	Marketta
136834	Rojola	Marketta
136990	Rojola	Marketta
137027	Rojola	Marketta
146857	Rojola	Marketta
149258	Rojola	Marketta
149415	Rojola-Ruottinen	Marketta
152450	Rojola	Marketta
152539	Kohonen-Rojola	Marketta
152750	Rojola	Marketta
154835	Rojola	Marketta
155465	Rojola	Marketta
158957	Rojola	Marketta
159208	Rojola	Marketta
160085	Rojola-Kähkönen	Marketta
163554	Rojola	Marketta
164153	Rojola	Marketta
164918	Vanninen-Rojola	Marketta
168449	Rojola	Marketta
172311	Rojola	Marketta
173258	Rojola	Marketta
174364	Rojola	Marketta
175094	Rojola	Marketta
175253	Rojola	Marketta
176917	Rojola	Marketta
177825	Rojola	Marketta
178222	Rojola	Marketta
179838	Rojola	Marketta
180744	Rojola	Marketta
182603	Rojola	Marketta
183368	Rojola	Marketta
184592	Mynttinen-Rojola	Marketta
185206	Rojola	Marketta
186419	Rojola	Marketta
187117	Rojola	Marketta
190421	Rojola	Marketta
191298	Rojola	Marketta
193437	Rojola	Marketta
196979	Rojola	Marketta
197621	Rojola	Marketta
198720	Rojola	Marketta
199632	Rojola	Marketta
3	Rojola	Iisakki
206	Rojola	Iisakki
1179	Rojola-Heinonen	Iisakki
1866	Rojola	Iisakki
5376	Rojola	Iisakki
5443	Rojola	Iisakki
5607	Rojola	Iisakki
6469	Rojola	Iisakki
7294	Rojola	Iisakki
9461	Rojola	Iisakki
9671	Rojola	Iisakki
10094	Rojola	Iisakki
11413	Rojola	Iisakki
11738	Rojola	Iisakki
12244	Rojola	Iisakki
13047	Rojola	Iisakki
15476	Rojola	Iisakki
18407	Rojola	Iisakki
24044	Rojola	Iisakki
24066	Rojola	Iisakki
26509	Rojola-Auvinen	Iisakki
28292	Rojola	Iisakki
30320	Rojola	Iisakki
32094	Rojola	Iisakki
37119	Rojola	Iisakki
39437	Rojola	Iisakki
40270	Rojola	Iisakki
40600	Rojola	Iisakki
42541	Rojola	Iisakki
43285	Rojola	Iisakki
45918	Laitamo-Rojola	Iisakki
46519	Rojola	Iisakki
47522	Rojola	Iisakki
48664	Rojola	Iisakki
50163	Rojola	Iisakki
51065	Rojola	Iisakki
53432	Rojola	Iisakki
55375	Rojola	Iisakki
55736	Ollikainen-Rojola	Iisakki
56196	Rojola	Iisakki
61538	Rojola	Iisakki
64254	Rojola	Iisakki
66363	Rojola	Iisakki
66979	Rojola-Rajala	Iisakki
68219	Rojola	Iisakki
71215	Rojola	Iisakki
71733	Rojola	Iisakki
74971	Häkkinen-Rojola	Iisakki
76212	Rojola	Iisakki
79318	Rojola	Iisakki
81227	Rojola	Iisakki
81975	Rojola	Iisakki
87081	Rojola	Iisakki
88357	Rojola	Iisakki
89019	Rojola	Iisakki
91841	Rojola	Iisakki
92299	Rojola	Iisakki
97570	Rojola	Iisakki
97630	Rojola	Iisakki
99720	Rojola	Iisakki
99753	Rojola	Iisakki
107288	Rojola-Uutela	Iisakki
110170	Rojola	Iisakki
111197	Rojola	Iisakki
111640	Wuotila-Rojola	Iisakki
114982	Rojola	Iisakki
115272	Rojola	Iisakki
115298	Rojola	Iisakki
115935	Rojola	Iisakki
117692	Rojola	Iisakki
123204	Rojola	Iisakki
124259	Mottisenkangas-Rojola	Iisakki
125850	Rojola	Iisakki
126623	Rojola	Iisakki
126819	Stepanov-Rojola	Iisakki
129695	Rojola	Iisakki
131459	Rojola	Iisakki
132236	Rojola	Iisakki
132745	Rojola	Iisakki
135215	Rojola	Iisakki
135299	Paavola-Rojola	Iisakki
135519	Rojola	Iisakki
136156	Rojola	Iisakki
136834	Rojola	Iisakki
136990	Rojola	Iisakki
137027	Rojola	Iisakki
146857	Rojola	Iisakki
149258	Rojola	Iisakki
149415	Rojola-Ruottinen	Iisakki
